  d_U        exp        obs     exp-1s    exp+1s     exp-2s    exp+2s
-----  ---------  ---------  ---------  --------  ---------  --------
 1.9   1.12843    1.11658    0.951723   1.34776   0.820967   1.57573
 1.7   0.57841    0.561929   0.488653   0.6889    0.42236    0.801296
 1.1   0.0954345  0.0913116  0.08093    0.112056  0.0704486  0.129442
 1.06  0.0958184  0.0935335  0.0813891  0.112994  0.0706051  0.130268
 1.6   0.431047   0.416926   0.364158   0.510493  0.314754   0.59343
 1.09  0.0990813  0.0983943  0.0840225  0.116338  0.0731407  0.134388
 1.5   0.305429   0.293908   0.258465   0.361722  0.223842   0.419067
 1.02  0.132854   0.129664   0.113218   0.155993  0.0980709  0.179558
 2     1.54084    1.50893    1.29735    1.83517   1.11686    2.14864
 1.4   0.212725   0.208759   0.18099    0.251932  0.156467   0.291872
 1.8   0.81607    0.790948   0.687115   0.971958  0.591519   1.13054
 1.3   0.160392   0.158085   0.136351   0.189413  0.1184     0.218984
 1.2   0.117223   0.114023   0.0994074  0.138038  0.086533   0.159244
 1.04  0.107616   0.104484   0.0917101  0.126724  0.0794408  0.14568
 2.2   2.80004    2.73393    2.34736    3.3536    2.02202    3.9404
 1.01  0.175709   0.171876   0.14986    0.207502  0.129939   0.239067
