#### 95% Observed Upper Limits #####
# Mass [GeV] 	 Obs Lim gg [pb] 	 Obs Lim qg [pb]        Obs Lim qq [pb]  
################################################################################
600              3.930782e+01            3.367784e+01           1.384345e+01
650              1.546334e+01            1.006259e+01           4.915221e+00
700              6.140850e+00            4.732547e+00           2.467140e+00
750              5.496449e+00            3.824183e+00           2.636114e+00
800              1.019559e+01            5.727179e+00           3.136432e+00
850              1.132077e+01            5.448616e+00           2.456476e+00
900              7.557253e+00            3.205618e+00           1.165716e+00
950              3.225140e+00            1.403394e+00           7.303721e-01
1000             1.658642e+00            9.670295e-01           5.716260e-01
1050             1.410978e+00            1.114504e+00           9.109702e-01
1100             2.061444e+00            1.897988e+00           1.512747e+00
1150             3.903501e+00            2.575437e+00           1.737262e+00
1200             4.486803e+00            2.740121e+00           1.375447e+00
1250             3.479202e+00            2.042644e+00           1.226191e+00
1300             3.581956e+00            1.997842e+00           8.610439e-01
1350             1.959272e+00            1.007588e+00           4.845564e-01
1400             1.141295e+00            5.558075e-01           2.996721e-01
1450             6.319608e-01            3.524226e-01           1.861907e-01
1500             4.195350e-01            2.656136e-01           1.454948e-01
1550             3.569361e-01            1.933085e-01           1.444052e-01
1600             3.365513e-01            1.865869e-01           1.638530e-01

1600 	         3.719082e-01	 	 2.743402e-01  		2.073642e-01   		
1700 	         6.495311e-01 	 	 4.329005e-01  		2.986435e-01    	
1800 	         6.169966e-01 	 	 3.858693e-01  		2.622936e-01    	
1900 	         4.709948e-01 	 	 2.689540e-01  		1.608137e-01    	
2000 	         2.973800e-01 	 	 1.672108e-01  		1.077999e-01    	
2100 	         1.881299e-01 	 	 1.123143e-01  		7.563410e-02    	
2200 	         1.340544e-01 	 	 7.531953e-02  		4.898422e-02    	
2300 	         8.150247e-02 	 	 4.624789e-02  		2.861659e-02    	
2400 	         5.892800e-02 	 	 3.844935e-02  		2.798881e-02    	
2500 	         5.964468e-02 	 	 4.145347e-02  		3.045377e-02    	
2600 	         6.671631e-02 	 	 4.714776e-02  		3.468060e-02    	
2700 	         7.321797e-02 	 	 5.223080e-02  		3.882726e-02    	
2800 	         7.787577e-02 	 	 5.257020e-02  		3.869833e-02    	
2900 	         7.371011e-02 	 	 4.816130e-02  		3.529116e-02    	
3000 	         6.417646e-02 	 	 3.956394e-02  		2.678445e-02    	
3100 	         4.199587e-02 	 	 2.463441e-02  		1.358443e-02    	
3200 	         2.945792e-02 	 	 2.111231e-02  		1.641219e-02    	
3300 	         3.410316e-02 	 	 2.362235e-02  		1.784284e-02    	
3400 	         3.465216e-02 	 	 2.344398e-02  		1.693776e-02    	
3500 	         3.191977e-02 	 	 2.138388e-02  		1.481103e-02    	
3600 	         2.740646e-02 	 	 1.823557e-02  		1.188040e-02    	
3700 	         2.254585e-02 	 	 1.523022e-02  		1.013103e-02    	
3800 	         1.955017e-02 	 	 1.309008e-02  		9.019957e-03    	
3900 	         1.722177e-02 	 	 1.133726e-02  		7.721939e-03    	
4000 	         1.471362e-02 	 	 9.567689e-03  		6.292237e-03    	
4100 	         1.213334e-02 	 	 8.055826e-03  		5.171639e-03    	
4200 	         1.019828e-02 	 	 6.932051e-03  		4.521334e-03    	
4300 	         9.117303e-03 	 	 6.550529e-03  		4.612686e-03    	
4400 	         9.266616e-03 	 	 7.010518e-03  		5.349997e-03    	
4500 	         1.020615e-02 	 	 7.524425e-03  		5.647347e-03    	
4600 	         1.046559e-02 	 	 7.508080e-03  		5.546897e-03    	
4700 	         1.028354e-02 	 	 7.265972e-03  		5.260139e-03    	
4800 	         9.621400e-03 	 	 6.717746e-03  		4.787933e-03    	
4900 	         8.561946e-03 	 	 5.857014e-03  		3.882968e-03    	
5000 	         6.898460e-03 	 	 4.617596e-03  		2.851889e-03    	
5100 	         5.343160e-03 	 	 3.527220e-03  		2.138269e-03    	
5200 	         4.114107e-03 	 	 2.768232e-03  		1.725161e-03    	
5300 	         3.354943e-03 	 	 2.276398e-03  		1.453667e-03    	
5400 	         2.848653e-03 	 	 1.917819e-03  		1.224525e-03    	
5500 	         2.426602e-03 	 	 1.620440e-03  		1.014802e-03    	
5600 	         2.053746e-03 	 	 1.380931e-03  		8.540617e-04    	
5700 	         1.778602e-03 	 	 1.217776e-03  		7.879888e-04    	
5800 	         1.651104e-03 	 	 1.147556e-03  		7.995383e-04    	
5900 	         1.639381e-03 	 	 1.141066e-03  		8.086667e-04    	
6000 	         1.644200e-03 	 	 1.132607e-03  		7.913034e-04    	
6100 	         1.663056e-03 	 	 1.110707e-03  		7.452887e-04    	
6200 	         1.631608e-03 	 	 1.061294e-03  		6.837872e-04    	
6300 	         1.564424e-03 	 	 1.003102e-03  		6.257920e-04    	
6400 	         1.489689e-03 	 	 9.411824e-04  		5.746982e-04    	
6500 	         1.424470e-03 	 	 8.815734e-04  		5.208643e-04    	
6600 	         1.357203e-03 	 	 8.259956e-04  		4.719775e-04    	
6700 	         1.294475e-03 	 	 7.789039e-04  		4.300679e-04    	
