## Observed dijet mass spectrum #
##########################################################################################################################################################
## Mass [GeV] 		dsigma/dE [pb/GeV]   	err_mass_low [GeV] 	 err_mass_hi [GeV]	 err_dsigma/dE_low [pb/GeV]	err_dsigma/dE_hi [pb/GeV]
###########################################################################################################################################################
507.5                 137.869                   18.5                     18.5                    0.0117018                      0.0117028
545.5                  94.5641                  19.5                     19.5                    0.00943956                     0.00944051
585.5                  65.0671                  20.5                     20.5                    0.00763678                     0.00763767
627.5                  44.9519                  21.5                     21.5                    0.00619813                     0.00619899
671                    31.289                   22                       22                      0.005112                       0.00511283
716.5                  21.8712                  23.5                     23.5                    0.00413532                     0.0041361
764                    15.3405                  24                       24                      0.00342705                     0.00342781
813                    10.8454                  25                       25                      0.00282332                     0.00282405
864                     7.69078                 26                       26                      0.00233133                     0.00233204
917                     5.472                   27                       27                      0.00192973                     0.00193041
972                     3.90802                 28                       28                      0.00160142                     0.00160208
1029                    2.80224                 29                       29                      0.00133248                     0.00133311
1088                    2.01816                 30                       30                      0.00111179                     0.0011124
1149.5                  1.45429                 31.5                     31.5                    0.000921035                    0.000921618
1213.5                  1.04809                 32.5                     32.5                    0.000769776                    0.000770341
1279.5                  0.758431                33.5                     33.5                    0.000644974                    0.000645522
1348                    0.548791                35                       35                      0.000536755                    0.00053728
1419                    0.398501                36                       36                      0.000450993                    0.000451503
1492.5                  0.289136                37.5                     37.5                    0.000376393                    0.000376884
1568.5                  0.210445                38.5                     38.5                    0.000316917                    0.000317394
1647                    0.153802                40                       40                      0.000265802                    0.000266261
1728.5                  0.112012                41.5                     41.5                    0.000222697                    0.00022314
1813                    0.0820474               43                       43                      0.000187242                    0.00018767
1900.5                  0.0595027               44.5                     44.5                    0.000156745                    0.000157159
1991                    0.043491                46                       46                      0.000131803                    0.000132203

1279.5   		0.658973        	33.5  	 	 	 33.5   		 0.00052343    			0.000523846
1348    		0.479152        	35    	 	 	 35     		 0.000436667   			0.000437065
1419     		0.348536        	36    	 	 	 36     		 0.000367215   			0.000367602
1492.5   		0.253661        	37.5  	 	 	 37.5   		 0.000306944   			0.000307315
1568.5   		0.185309        	38.5  	 	 	 38.5   		 0.00025892    			0.000259282
1647     		0.135726        	40    	 	 	 40     		 0.000217394   			0.000217743
1728.5   		0.0995892       	41.5  	 	 	 41.5   		 0.000182822   			0.000183158
1813     		0.0727091       	43    	 	 	 43     		 0.000153464   			0.000153788
1900.5   		0.0530731       	44.5  	 	 	 44.5   		 0.000128886   			0.000129199
1991     		0.0388994       	46    	 	 	 46     		 0.000108527   			0.000108831
2084.5  		0.0283853      		47.5 	 	 	 47.5  		 	 9.12318e-05  			9.15255e-05
2181.5  		0.0208191      		49.5 	 	 	 49.5  		 	 7.65375e-05  			7.68194e-05
2281.5  		0.0149872      		50.5 	 	 	 50.5  		 	 6.42925e-05  			6.45689e-05
2385    		0.0110609      		53   	 	 	 53    		 	 5.39141e-05  			5.41775e-05
2492    		0.00802796     		54   	 	 	 54    		 	 4.55041e-05  			4.57628e-05
2602.5  		0.0058799      		56.5 	 	 	 56.5  		 	 3.80719e-05  			3.83192e-05
2717    		0.00425872     		58   	 	 	 58    		 	 3.19793e-05  			3.22203e-05
2835    		0.00311908     		60   	 	 	 60    		 	 2.69079e-05  			2.7141e-05
2957    		0.00226211     		62   	 	 	 62    		 	 2.25424e-05  			2.27682e-05
3083    		0.00155423     		64   	 	 	 64    		 	 1.8391e-05   			1.86099e-05
3213    		0.00116696     		66   	 	 	 66    		 	 1.56924e-05  			1.59049e-05
3347.5  		0.000843584    		68.5 	 	 	 68.5  		 	 1.30963e-05  			1.33012e-05
3487    		0.000593786    		71   	 	 	 71    		 	 1.07922e-05  			1.09901e-05
3631    		0.00041611     		73   	 	 	 73    		 	 8.90957e-06  			9.10241e-06
3779    		0.000301021    		75   	 	 	 75    		 	 7.47602e-06  			7.66403e-06
3932    		0.000208199    		78   	 	 	 78    		 	 6.09645e-06  			6.27763e-06
4090.5  		0.000143428    		80.5 	 	 	 80.5  		 	 4.98057e-06  			5.15659e-06
4254    		9.96745e-05    		83   	 	 	 83    		 	 4.08863e-06  			4.25988e-06
4423    		6.9314e-05     		86   	 	 	 86    		 	 3.34918e-06  			3.51505e-06
4597.5  		5.27202e-05    		88.5 	 	 	 88.5  		 	 2.87904e-06  			3.04072e-06
4777.5  		3.37915e-05    		91.5 	 	 	 91.5  		 	 2.26628e-06  			2.42361e-06
4963.5  		2.19599e-05    		94.5 	 	 	 94.5  		 	 1.79704e-06  			1.95047e-06
5155.5  		1.37133e-05    		97.5 	 	 	 97.5  		 	 1.3972e-06   			1.54735e-06
5354    		9.92857e-06    		101  	 	 	 101   		 	 1.16739e-06  			1.31344e-06
5559    		4.955e-06      		104  	 	 	 104   		 	 8.10914e-07  			9.55874e-07
5770    		3.6446e-06     		107  	 	 	 107   		 	 6.84639e-07  			8.27139e-07
5988    		3.01137e-06    		111  	 	 	 111   		 	 6.10392e-07  			7.48708e-07
6213.5  		1.33802e-06    		114.5	 	 	 114.5 		 	 3.97226e-07  			5.37229e-07
6446    		1.1803e-06     		118  	 	 	 118   		 	 3.66926e-07  			5.0364e-07
6686    		3.42481e-07    		122  	 	 	 122   		 	 1.86393e-07  			3.33148e-07
6934    		4.42145e-07    		126  	 	 	 126   		 	 2.11607e-07  			3.49606e-07
7190    		2.1427e-07     		130  	 	 	 130   		 	 1.384e-07    			2.82613e-07
7454.5  		3.10652e-07    		134.5	 	 	 134.5 		 	 1.6907e-07   			3.02186e-07
7727.5  		0              		138.5	 	 	 138.5 		 	 0            			1.85137e-07
8009    		0              		143  	 	 	 143   		 	 0            			1.79311e-07
